variable_code,Granular Category,Broad Category
B25044_001E,Total Households Vehicles Available,Vehicles Available: Total Houselholds
B25044_002E,Total Owner Occupied Households Vehicle Available,Vehicle Available: Total
B25044_003E,Total Owner Occupied Households No Vehicle Available,No Vehicle Available
B25044_004E,Total Owner Occupied Households 1 Vehicle Available,1 Vehicle Available
B25044_005E,Total Owner Occupied Households 2 Vehicles Available,2 Vehicles Available
B25044_006E,Total Owner Occupied Households 3 Vehicles Available,3 Vehicles Available
B25044_007E,Total Owner Occupied Households 4 Vehicles Available,4 Vehicles Available
B25044_008E,Total Owner Occupied Households 5 or more Vehicles Available,5 Vehicles Available
B25044_009E,Total Renter Occupied Households Vehicle Available,Vehicle Available: Total
B25044_010E,Total Renter Occupied Households No Vehicle Available,No Vehicle Available
B25044_011E,Total Renter Occupied Households 1 Vehicle Available,1 Vehicle Available
B25044_012E,Total Renter Occupied Households 2 Vehicles Available,2 Vehicles Available
B25044_013E,Total Renter Occupied Households 3 Vehicles Available,3 Vehicles Available
B25044_014E,Total Renter Occupied Households 4 Vehicles Available,4 Vehicles Available
B25044_015E,Total Renter Occupied Households 5 or more Vehicles Available,5 Vehicles Available
