Year,Adjustment_2021,Source
1990,2.020242915,R-CPI-U-RS
2000,1.580990099,R-CPI-U-RS
2001,1.53715826,R-CPI-U-RS
2002,1.513267627,R-CPI-U-RS
2003,1.479614529,R-CPI-U-RS
2004,1.441155235,R-CPI-U-RS
2005,1.393854749,R-CPI-U-RS
2006,1.350016909,R-CPI-U-RS
2007,1.312726077,R-CPI-U-RS
2008,1.264091197,R-CPI-U-RS
2009,1.268509692,R-CPI-U-RS
2010,1.248280175,R-CPI-U-RS
2011,1.20969697,R-CPI-U-RS
2012,1.184921342,R-CPI-U-RS
2013,1.167251462,R-CPI-U-RS
2014,1.148116192,R-CPI-U-RS
2015,1.146138386,R-CPI-U-RS
2016,1.131519274,R-CPI-U-RS
2017,1.107965584,R-CPI-U-RS
2018,1.081549716,R-CPI-U-RS
2019,1.062267163,R-CPI-U-RS
2020,1.048319328,R-CPI-U-RS
2021,1,R-CPI-U-RS
